PRODUCT,FROM_LOCATION,TO_LOCATION,TRANS_RT,MODE,PREFERENCE,COST,TRANSIT_TIME,TRANSIT_TIME_UOM,EFFECTIVE_START,EFFECTIVE_END,DEST_TYPE,ASSY_LOC,HIER_LEVEL_1,HIER_LEVEL_,HIER_LEVEL_3,process_unit_cost
280-1312-31,TL_TXCOC,SZ_CB,-,ROAD,2,0.002,1,DAYS,-,-,-,-,SZ_CB,CB,ALL,1
280-1312-33,TL_TXCOC,SZ_CB,-,ROAD,2,0.002,1,DAYS,-,-,-,-,SZ_CB,CB,ALL,1
280-1312-27,TH_TXCOC,SZ_CB,-,ROAD,3,0.002,1,DAYS,-,-,-,-,SZ_CB,CB,ALL,1
280-1312-29,TH_TXCOC,SZ_CB,-,ROAD,3,0.002,1,DAYS,-,-,-,-,SZ_CB,CB,ALL,1
280-1312-31,TH_TXCOC,SZ_CB,-,ROAD,3,0.002,1,DAYS,-,-,-,-,SZ_CB,CB,ALL,1
280-1312-33,TH_TXCOC,SZ_CB,-,ROAD,3,0.002,1,DAYS,-,-,-,-,SZ_CB,CB,ALL,1
280-1312-27,SZ_TXCOC,TL_CB,-,ROAD,2,0.002,1,DAYS,-,-,-,-,TL_CB,CB,ALL,1
280-1312-29,SZ_TXCOC,TL_CB,-,ROAD,2,0.002,1,DAYS,-,-,-,-,TL_CB,CB,ALL,1
280-1312-31,SZ_TXCOC,TL_CB,-,ROAD,2,0.002,1,DAYS,-,-,-,-,TL_CB,CB,ALL,1
280-1312-33,SZ_TXCOC,TL_CB,-,ROAD,2,0.002,1,DAYS,-,-,-,-,TL_CB,CB,ALL,1
280-1312-27,TL_TXCOC,TL_CB,-,ROAD,1,0.002,1,DAYS,-,-,-,-,TL_CB,CB,ALL,1
