FG PN,PLANT,Work order code,,,,
500-6201,2000,F29,,,,
500-6204,1000,F30,,,,
500-6204,2000,F30,,,,
500-6207,1000,F29,,,,
500-6207,2000,F29,,,,
500-6209,1000,F40,,,,
500-6209,2000,F40,,,,
500-6212,1000,F40,,,,
500-6212,2000,F40,,,,
500-6230,1000,F40,,,,
500-6230,2000,F40,,,,
500-6231,1000,F40,,,,
500-6231,2000,F40,,,,
500-6240,1000,F30,,,,
500-6240,2000,F30,,,,
500-6249-003,1000,G10,,,,
500-6249-005,1000,G10,,,,
500-6249-007,1000,G10,,,,
500-6249-010,1000,G10,,,,
500-6249-020,1000,G10,,,,
500-6250-003,1000,F28,,,,
500-6250-005,1000,F28,,,,
500-6250-007,1000,F28,,,,
500-6250-010,1000,F28,,,,
500-6250-020,1000,F28,,,,
500-6253,1000,F29,,,,
500-6262,1000,F40,,,,
500-6262,2000,F40,,,,
500-6266,1000,F33,,,,
500-6266,2000,F33,,,,
500-6267,1000,F35,,,,
500-6267,2000,F35,,,,
500-6277,1000,F40,,,,
500-6277,2000,F40,,,,
500-6278,1000,F40,,,,
500-6278,2000,F40,,,,
500-6282-003,1000,G10,,,,
500-6282-005,1000,G10,,,,
500-6282-007,1000,G10,,,,
500-6282-010,1000,G10,,,,
500-6282-015,1000,G10,,,,
500-6282-020,1000,G10,,,,
500-6283-003,1000,F28,,,,
500-6283-005,1000,F28,,,,
500-6283-007,1000,F28,,,,
500-6283-010,1000,F28,,,,
500-6283-015,1000,F28,,,,
500-6283-020,1000,F28,,,,
500-6285,1000,F30,,,,
500-6285,2000,F30,,,,
500-6306,1000,F37,,,,
500-6336,1000,F29,,,,
500-6336,2000,F29,,,,
500-6357-001,1000,F28,,,,
500-6357-002,1000,F28,,,,
500-6357-003,1000,F28,,,,
500-6357-005,1000,F28,,,,
500-6357-007,1000,F28,,,,
500-6357-010,1000,F28,,,,
500-6357-015,1000,F28,,,,
500-6357-020,1000,F28,,,,
500-6357-030,1000,F28,,,,
500-6382-001,1000,F28,,,,
500-6382-003,1000,F28,,,,
500-6382-005,1000,F28,,,,
500-6382-007,1000,F28,,,,
500-6382-010,1000,F28,,,,
500-6382-015,1000,F28,,,,
500-6382-020,1000,F28,,,,
500-6382-030,1000,F28,,,,
500-6383-001,1000,F28,,,,
500-6383-003,1000,F28,,,,
500-6383-005,1000,F28,,,,
500-6383-007,1000,F28,,,,
