Plant,删除标识,凭证日期,采购凭证,项目,PN,库存地点,Quantity,仍要交货(数量),短文本,订单单位,采购组,项目类别,物料组,Vendor,Vendor_Name
1000,,2/28/24,4900011478,10,280-0701,VM01,1700,1700,"RX Z-Block,P0.75,8 deg incident",PC,A04,2,288P81B5,100018, 昂纳科技（深圳）集团股份有限公司
1000,,12/26/23,4500072714,30,313-0059,6010,2200,1725,"Epoxy,Epo-Tek,HYB-353ND-Tx2,3ml/支",PC,A10,0,313P87C2,100041, 技硕贸易（上海）有限公司
1000,,1/10/24,4500073803,10,283-0110-29,6010,1800,1800,"MQW-DFB Laser chip,1287 to 1292nm",PC,A14,0,283P7296,200020, Milli-tech Electronics Limited.
1000,,1/11/23,4500054437,10,330-0403,6010,250000,1925,"Label,25*13,Cisco BP:473-00014-05(TMG9)",PC,A16,0,330P96E3,200079, Worldmark International Limited
2000,,3/5/24,4500078320,10,350-0229,6010,2000,2000,"Tray,215x205x18.5mm,8pcs,Pack",PC,A16,0,350P97E4,100187, 苏州安隆塑业有限公司
1000,,7/14/22,4500047200,20,120-0138,5010,1832000,2000,"Ferrite Bead 0402,1.5A,120 Ohm,100MHz",PC,A01,0,121P0406,100083, 厦门信和达电子有限公司
1000,,2/19/24,4500076973,10,504-1718,6010,2008,2008,"PCBA BOM,100G QSFP28 SR4 lowcost",PC,A22,3,504P5071,100006, 福群科技（无锡）有限公司
5000,,3/20/24,4500079775,10,313-0043,6010,2075,2075,"Epoxy,Threebond,3114,3ml/支",PC,A10,0,313P87C2,200177, Shanghai Jiahu Industrial Co.;Ltd
1000,,2/26/24,4500077610,10,351-0009,6010,3000,2100,"Carton,194*170*221mm",PC,A16,0,351P97E5,100003, 昆山中扬包装材料有限公司
1000,,1/16/24,4900010641,30,280-0701,VM01,6000,2156,"RX Z-Block,P0.75,8 deg incident",PC,A04,2,288P81B5,100143, 苏州东辉光学有限公司
1000,,2/1/24,4900011046,40,280-0701,VM01,2200,2200,"RX Z-Block,P0.75,8 deg incident",PC,A04,2,288P81B5,100073, 苏州伽蓝致远电子科技股份有限公司
1000,,2/6/24,4900011100,10,280-0701,VM01,2300,2300,"RX Z-Block,P0.75,8 deg incident",PC,A04,2,288P81B5,100073, 苏州伽蓝致远电子科技股份有限公司
1000,,2/5/24,4500076206,10,504-1718,6010,8500,2304,"PCBA BOM,100G QSFP28 SR4 lowcost",PC,A22,3,504P5071,100006, 福群科技（无锡）有限公司
1000,,3/20/24,4500079772,10,313-0043,6010,2582,2582,"Epoxy,Threebond,3114,3ml/支",PC,A10,0,313P87C2,100353, 上海佳鹄实业有限公司
1000,,12/5/22,4500053135,30,351-0012,6010,5000,2600,"Packaging box,Pizza,192*169*89mm",PC,A16,0,351P97E5,100323, 苏州安卓电子有限公司
1000,,1/17/24,4500074545,40,313-0010,6010,3880,2680,"Epoxy,Henkel,3119,3ml/支",PC,A10,0,313P87C2,100033, 上海锐隆材料科技有限公司
5000,,2/6/24,4500076267,10,313-0039,6010,2765,2765,"Silicon,Dow Corning,TC-3065,30ml/支",PC,A10,0,313P87C2,200170, Parkweller New Material
1000,,1/17/24,4500074552,10,313-0039,6010,2770,2770,"Silicon,Dow Corning,TC-3065,30ml/支",PC,A10,0,313P87C2,100337, 帕克威乐新材料（深圳）有限公司
