PRODUCT_ID,Revesion level,VENDOR_ID,LOCATION,PREFERENCE/Quota,EFFECTIVE_START,EFFECTIVE_END,LEAD_DAYS_SUPPLY,CYCLE_DAYS_SUPPLY
320-0367,1B,100304,1000,100,2023.01.10,2023.12.31,130,
320-0367,1B,200071,1000,0,2023.01.10,2023.12.31,130,
320-0412,1A,100094,1000,70,2023.08.09,2023.12.31,39,
320-0412,1A,100144,1000,0,2023.08.09,2023.12.31,39,
320-0412,1A,100170,1000,20,2023.08.09,2023.12.31,39,
320-0412,1A,400543,1000,10,2023.08.09,2023.12.31,39,
320-0443,1B,100094,1000,60,2023.08.09,2023.12.31,39,
320-0443,1B,100144,1000,0,2023.08.09,2023.12.31,39,
320-0443,1B,100170,1000,30,2023.08.09,2023.12.31,39,
320-0443,1B,400543,1000,10,2023.08.09,2023.12.31,39,
320-0468,2C,100144,1000,40,2023.03.15,2023.12.31,69,
320-0468,2C,100170,1000,60,2023.03.15,2023.12.31,69,
320-0470,1B,100170,1000,100,2023.01.01,2023.12.31,39,
320-0471,1C,100170,1000,100,2023.01.01,2023.12.31,39,
320-0474,1C,100144,1000,30,2023.01.12,2023.12.31,67,
320-0474,1C,100170,1000,70,2023.01.12,2023.12.31,67,
320-0486,1A,100144,1000,60,2023.01.11,2023.12.31,39,
320-0486,1A,100170,1000,40,2023.01.11,2023.12.31,39,
320-0493,1A,100094,1000,40,2023.08.09,2023.12.31,39,
320-0493,1A,100144,1000,0,2023.08.09,2023.12.31,39,
320-0493,1A,100170,1000,50,2023.08.09,2023.12.31,39,
320-0493,1A,400543,1000,10,2023.08.09,2023.12.31,39,
320-0518,1A,100170,1000,100,2023.01.11,2023.12.31,39,
320-0550,1A,100336,1000,100,2023.01.01,2023.12.31,46,
320-0577,1B,100144,1000,10,2023.01.11,2023.12.31,67,
320-0577,1B,100170,1000,60,2023.01.11,2023.12.31,67,
320-0577,1B,100193,1000,30,2023.01.11,2023.12.31,67,
320-0611,1A,100144,1000,30,2023.01.12,2023.12.31,69,
320-0611,1A,100170,1000,60,2023.01.12,2023.12.31,69,
320-0611,1A,100193,1000,10,2023.01.12,2023.12.31,69,
320-0611,1A,100355,1000,0,2023.01.12,2023.12.31,69,
320-0614,1C,100170,1000,100,2023.01.12,2023.12.31,67,
320-0759,1A,100144,1000,30,2023.02.06,2023.12.31,69,
320-0759,1A,100170,1000,60,2023.02.06,2023.12.31,69,
320-0759,1A,100193,1000,10,2023.02.06,2023.12.31,69,
320-0763,1B,100144,1000,40,2023.01.12,2023.12.31,69,
320-0763,1B,100170,1000,50,2023.01.12,2023.12.31,69,
320-0763,1B,100193,1000,10,2023.01.12,2023.12.31,69,
320-0763,1B,100355,1000,0,2023.01.12,2023.12.31,69,
320-0836,1D,100170,1000,80,2023.01.13,2023.12.31,69,
320-0836,1D,100193,1000,0,2023.01.13,2023.12.31,69,
320-0836,1D,100355,1000,20,2023.01.13,2023.12.31,69,
321-0057,1A,100094,1000,25,2023.01.12,2023.12.31,41,
321-0057,1A,100144,1000,25,2023.01.12,2023.12.31,41,
321-0057,1A,100170,1000,50,2023.01.12,2023.12.31,41,
321-0058,1A,100094,1000,25,2023.01.12,2023.12.31,41,
321-0058,1A,100144,1000,25,2023.01.12,2023.12.31,41,
321-0058,1A,100170,1000,50,2023.01.12,2023.12.31,41,
321-0059,1A,100094,1000,50,2023.01.12,2023.12.31,41,
321-0059,1A,100144,1000,25,2023.01.12,2023.12.31,41,
321-0059,1A,100170,1000,25,2023.01.12,2023.12.31,41,
330-0006,1A,100009,1000,100,2023.08.08,2023.12.31,26,
330-0024,1A,100009,1000,100,2023.04.06,2023.12.31,26,
330-0025,1A,100009,1000,100,2023.01.01,2023.12.31,22,
330-0081,1B,100063,1000,20,2023.01.01,2023.12.31,24,
330-0081,1B,100175,1000,80,2023.01.01,2023.12.31,24,
330-0088,1A,100009,1000,100,2023.01.01,2023.12.31,24,
330-0101,1B,100009,1000,40,2023.01.01,2023.12.31,25,
