版次,MES质检库存,PN,Description,Plant,Storage,StorageDescription,SN,UnconstrainedQuantity
,,310-0505,,1000,9023,,,115.000
,,310-0505,,2000,3028,,,2650.000
,,310-0560,,1000,6010,,,2000.000
,,310-0573,,2000,6010,,,4451.000
,,310-0573,,5000,6010,,,296.000
,,310-0574,,5000,6010,,,600.000
,,310-0590,,1000,9023,,,4400.000
,,310-0590,,2000,6010,,,274.000
,,310-0590,,2000,9023,,,10616.000
,,310-0591,,2000,6010,,,26.000
,,310-0724,,2000,5016,,,9.000
,,310-0734,,2000,6010,,,1784.000
,,311-0005,,1000,5016,,,1535.000
,,311-0183,,1000,5016,,,58.000
,,311-0183,,1000,9023,,,147412.000
,,311-0183,,2000,9023,,,159000.000
,,311-0207,,1000,5016,,,465.000
,,311-0207,,1000,7010,,,2420.000
,,311-0207,,2000,5016,,,1797.000
,,311-0207,,2000,7010,,,605.000
,,311-0244,,2000,5016,,,11315.000
,,311-0244,,5000,5016,,,386.000
,,311-0244,,5000,6010,,,1000.000
,,311-0252,,2000,5016,,,2068.000
,,311-0260,,2000,1016,,,332.000
,,311-0276,,2000,5016,,,9925.000
,,311-0276,,2000,6010,,,82000.000
,,311-0276,,5000,5016,,,272.000
,,311-0276,,5000,6010,,,4500.000
,,311-0357-CD,,2000,1016,,,2424.000
,,311-0357-CD,,2000,9023,,,4500.000
,,311-0363,,2000,5016,,,886.000
,,311-0363,,2000,9023,,,45114.000
,,311-0436,,1000,5016,,,2123.000
,,311-0436,,2000,5016,,,5064.000
,,311-0437,,2000,5016,,,650.000
,,312-0036,,1000,5016,,,7486.000
,,312-0036,,1000,6010,,,10965.000
,,312-0036,,5000,6010,,,304.000
,,313-0001,,1000,7016,,,1168.976
,,313-0001,,2000,7016,,,21873.636
,,313-0001,,5000,7016,,,114.000
,,313-0010,,1000,7016,,,8923.950
,,313-0010,,2000,7016,,,15534.715
,,313-0039,,1000,7016,,,241356.089
,,313-0039,,2000,7016,,,147454.755
,,313-0039,,5000,5016,,,50.000
,,313-0039,,5000,7016,,,101811.889
,,313-0041,,1000,7016,,,3721.197
,,313-0041,,2000,7016,,,393.000
,,313-0041,,5000,7016,,,1620.066
,,313-0043,,1000,7016,,,23712.190
,,313-0043,,2000,6010,,,7950.000
,,313-0043,,2000,7016,,,11591.762
,,313-0043,,5000,7016,,,7057.264
,,313-0048,,1000,7016,,,395.823
,,313-0048,,2000,7016,,,5026.920
,,313-0048,,5000,7016,,,300.000
,,313-0059,,1000,7016,,,6164.821
,,313-0059,,2000,7016,,,4770.479
,,313-0059,,5000,7016,,,391.972
,,313-0062,,2000,7016,,,2220.000
,,313-0065,,1000,7016,,,180.000
,,313-0065,,2000,7016,,,140.890
,,313-0068,,1000,7016,,,10457.887
,,313-0068,,2000,7016,,,41281.661
,,313-0068,,5000,5016,,,35.300
,,313-0068,,5000,7016,,,4327.208
,,313-0083,,1000,7016,,,203.107
,,313-0083,,2000,7016,,,7.141
,,313-0083,,5000,7016,,,87.600
,,320-0109,,1000,5016,,,827.000
,,320-0109,,2000,6010,,,5600.000
,,320-0128,,1000,5016,,,380.000
,,320-0128,,1000,6010,,,74.000
,,320-0128,,2000,6010,,,3089.000
,,320-0248,,1000,5016,,,2524.000
,,320-0284,,1000,5016,,,357805.000
,,320-0284,,2000,5016,,,89695.000
,,320-0284,,5000,5016,,,7296.000
,,320-0284,,5000,6010,,,185000.000
,,320-0328,,2000,3016,,,59383.000
,,320-0367,,1000,1016,,,64.000
,,320-0367,,1000,6010,,,16952.000
,,320-0367,,1000,9023,,,122.000
,,320-0368,,1000,1016,,,176.000
,,320-0368,,1000,6010,,,17280.000
,,320-0412,,2000,3016,,,6431.000
,,320-0438,,2000,3016,,,616.000
,,320-0468,,2000,1016,,,174.000
,,320-0470,,2000,2016,,,4256.000
,,320-0471,,1000,7010,,,16512.000
,,320-0471,,2000,2016,,,1118.000
,,320-0471,,2000,6010,,,6200.000
,,320-0474,,2000,3016,,,6620.000
,,320-0474,,2000,6010,,,2877.000
,,320-0486,,2000,3016,,,3495.000
,,320-0493,,1000,6010,,,5324.000
,,320-0493,,2000,2016,,,5985.000
,,320-0493,,2000,3016,,,7785.000
,,320-0550,,2000,2016,,,3981.000
,,320-0614,,1000,3016,,,129.000
,,320-0759,,2000,3016,,,2497.000
,,320-0763,,2000,1016,,,314.000
,,320-0836,,2000,3016,,,1727.000
